"";"ref.date";"PIB"
"1";1997-01-01;868213
"2";1997-02-01;877083,6
"3";1997-03-01;884557,4
"4";1997-04-01;894114,7
"5";1997-05-01;902736,7
"6";1997-06-01;912836,2
"7";1997-07-01;919924,9
"8";1997-08-01;927258,7
"9";1997-09-01;937501,4
"10";1997-10-01;947598,5
"11";1997-11-01;952539,5
"12";1997-12-01;952089,2
"13";1998-01-01;953870,4
"14";1998-02-01;958625,8
"15";1998-03-01;968672,8
"16";1998-04-01;976262,5
"17";1998-05-01;983359,2
"18";1998-06-01;987719,2
"19";1998-07-01;992599
"20";1998-08-01;996837,8
"21";1998-09-01;999584
"22";1998-10-01;999589,6
"23";1998-11-01;1000516
"24";1998-12-01;1002351
"25";1999-01-01;1003923,4
"26";1999-02-01;1009024,4
"27";1999-03-01;1017318,3
"28";1999-04-01;1023891,3
"29";1999-05-01;1027906,8
"30";1999-06-01;1034091,4
"31";1999-07-01;1038383,3
"32";1999-08-01;1044295,4
"33";1999-09-01;1050173,6
"34";1999-10-01;1058743,2
"35";1999-11-01;1071989,7
"36";1999-12-01;1087710,5
"37";2000-01-01;1099350,8
"38";2000-02-01;1110192,1
"39";2000-03-01;1113969,4
"40";2000-04-01;1117606,6
"41";2000-05-01;1127110,5
"42";2000-06-01;1138049
"43";2000-07-01;1150228,9
"44";2000-08-01;1163123,4
"45";2000-09-01;1172819,2
"46";2000-10-01;1183898
"47";2000-11-01;1192012,9
"48";2000-12-01;1199092,1
"49";2001-01-01;1209046,1
"50";2001-02-01;1218911
"51";2001-03-01;1234635
"52";2001-04-01;1250830,7
"53";2001-05-01;1263306
"54";2001-06-01;1265570
"55";2001-07-01;1272918,6
"56";2001-08-01;1280805,4
"57";2001-09-01;1289198,6
"58";2001-10-01;1298386,5
"59";2001-11-01;1308590,4
"60";2001-12-01;1315755,5
"61";2002-01-01;1325599,6
"62";2002-02-01;1335441,4
"63";2002-03-01;1345582,3
"64";2002-04-01;1358396,3
"65";2002-05-01;1370746,6
"66";2002-06-01;1389221,6
"67";2002-07-01;1405319,2
"68";2002-08-01;1420054,7
"69";2002-09-01;1436491,7
"70";2002-10-01;1453478,1
"71";2002-11-01;1471562,8
"72";2002-12-01;1488787,3
"73";2003-01-01;1502123,5
"74";2003-02-01;1522029,5
"75";2003-03-01;1543732,2
"76";2003-04-01;1564349,5
"77";2003-05-01;1580855,1
"78";2003-06-01;1595356,7
"79";2003-07-01;1613126,2
"80";2003-08-01;1629693,3
"81";2003-09-01;1654912
"82";2003-10-01;1680138,8
"83";2003-11-01;1698929
"84";2003-12-01;1717950,4
"85";2004-01-01;1734697,8
"86";2004-02-01;1744965,5
"87";2004-03-01;1765492,2
"88";2004-04-01;1783600,3
"89";2004-05-01;1803656
"90";2004-06-01;1828299,9
"91";2004-07-01;1851888,9
"92";2004-08-01;1875591
"93";2004-09-01;1894202,4
"94";2004-10-01;1910239,6
"95";2004-11-01;1933498,7
"96";2004-12-01;1957751,2
"97";2005-01-01;1976938
"98";2005-02-01;1995254,4
"99";2005-03-01;2012678,1
"100";2005-04-01;2031482,7
"101";2005-05-01;2049495,2
"102";2005-06-01;2066440,5
"103";2005-07-01;2079897,1
"104";2005-08-01;2098542,5
"105";2005-09-01;2114047,4
"106";2005-10-01;2132610,2
"107";2005-11-01;2151010,5
"108";2005-12-01;2170584,5
"109";2006-01-01;2190643,1
"110";2006-02-01;2207671,2
"111";2006-03-01;2225144,6
"112";2006-04-01;2235812,9
"113";2006-05-01;2256419,1
"114";2006-06-01;2271564
"115";2006-07-01;2293390,2
"116";2006-08-01;2315471,6
"117";2006-09-01;2336552,6
"118";2006-10-01;2362641,2
"119";2006-11-01;2387208
"120";2006-12-01;2409449,9
"121";2007-01-01;2434411,5
"122";2007-02-01;2458966,9
"123";2007-03-01;2486602,5
"124";2007-04-01;2516940,7
"125";2007-05-01;2545742
"126";2007-06-01;2575280,3
"127";2007-07-01;2602697,5
"128";2007-08-01;2627804,4
"129";2007-09-01;2649278,5
"130";2007-10-01;2675926,6
"131";2007-11-01;2698213
"132";2007-12-01;2720262,9
"133";2008-01-01;2746426
"134";2008-02-01;2776859,2
"135";2008-03-01;2800895,2
"136";2008-04-01;2835166,3
"137";2008-05-01;2863373,4
"138";2008-06-01;2899765,6
"139";2008-07-01;2940137
"140";2008-08-01;2974782,1
"141";2008-09-01;3020522,3
"142";2008-10-01;3059757,6
"143";2008-11-01;3088601,5
"144";2008-12-01;3109803,1
"145";2009-01-01;3121758,8
"146";2009-02-01;3132276,3
"147";2009-03-01;3153874,9
"148";2009-04-01;3164110,3
"149";2009-05-01;3177111,6
"150";2009-06-01;3187927,3
"151";2009-07-01;3198100,6
"152";2009-08-01;3212061,2
"153";2009-09-01;3228167,9
"154";2009-10-01;3252378,5
"155";2009-11-01;3288209,5
"156";2009-12-01;3333039,4
"157";2010-01-01;3372644,4
"158";2010-02-01;3413499,6
"159";2010-03-01;3463309,7
"160";2010-04-01;3511531,8
"161";2010-05-01;3558737
"162";2010-06-01;3603877,2
"163";2010-07-01;3651309
"164";2010-08-01;3701182,8
"165";2010-09-01;3748968,7
"166";2010-10-01;3790771,7
"167";2010-11-01;3841254,4
"168";2010-12-01;3885847
"169";2011-01-01;3929048,6
"170";2011-02-01;3978014,6
"171";2011-03-01;4015980,2
"172";2011-04-01;4058947,1
"173";2011-05-01;4111272,3
"174";2011-06-01;4158547,4
"175";2011-07-01;4196989,2
"176";2011-08-01;4239493,9
"177";2011-09-01;4272946,9
"178";2011-10-01;4305785,2
"179";2011-11-01;4338896
"180";2011-12-01;4376382
"181";2012-01-01;4412981,7
"182";2012-02-01;4448184,5
"183";2012-03-01;4489325,6
"184";2012-04-01;4520587,8
"185";2012-05-01;4554177,4
"186";2012-06-01;4585739
"187";2012-07-01;4627426,9
"188";2012-08-01;4671291,7
"189";2012-09-01;4703853,6
"190";2012-10-01;4751483,1
"191";2012-11-01;4786545,6
"192";2012-12-01;4814760
"193";2013-01-01;4859459,1
"194";2013-02-01;4890027,5
"195";2013-03-01;4926899,2
"196";2013-04-01;4987524,1
"197";2013-05-01;5026997
"198";2013-06-01;5066353,2
"199";2013-07-01;5109929,8
"200";2013-08-01;5144959,4
"201";2013-09-01;5190038,5
"202";2013-10-01;5234346,6
"203";2013-11-01;5278071,1
"204";2013-12-01;5331619
"205";2014-01-01;5376009,2
"206";2014-02-01;5433418
"207";2014-03-01;5475987,8
"208";2014-04-01;5509202
"209";2014-05-01;5549139,6
"210";2014-06-01;5575730,9
"211";2014-07-01;5610049,6
"212";2014-08-01;5640051,3
"213";2014-09-01;5683722,3
"214";2014-10-01;5716926,6
"215";2014-11-01;5745089,7
"216";2014-12-01;5778953
"217";2015-01-01;5799930,7
"218";2015-02-01;5811197,9
"219";2015-03-01;5849624,5
"220";2015-04-01;5867060,8
"221";2015-05-01;5878058,8
"222";2015-06-01;5907266,7
"223";2015-07-01;5927441,3
"224";2015-08-01;5945053,9
"225";2015-09-01;5953369,4
"226";2015-10-01;5965864
"227";2015-11-01;5981007,5
"228";2015-12-01;5995787
"229";2016-01-01;6003359,3
"230";2016-02-01;6027030,8
"231";2016-03-01;6039452,6
"232";2016-04-01;6063099,9
"233";2016-05-01;6087368,8
"234";2016-06-01;6118558,5
"235";2016-07-01;6133441
"236";2016-08-01;6162822,7
"237";2016-09-01;6187501,9
"238";2016-10-01;6205707
"239";2016-11-01;6238116,6
"240";2016-12-01;6269328
"241";2017-01-01;6301108,6
"242";2017-02-01;6321563,9
"243";2017-03-01;6354593,3
"244";2017-04-01;6371472,9
"245";2017-05-01;6405882,2
"246";2017-06-01;6426159,9
"247";2017-07-01;6452579,5
"248";2017-08-01;6477731
"249";2017-09-01;6497619
"250";2017-10-01;6526793,7
"251";2017-11-01;6554803,1
"252";2017-12-01;6585479
"253";2018-01-01;6624593,8
"254";2018-02-01;6653843,3
"255";2018-03-01;6682355
"256";2018-04-01;6732449,7
"257";2018-05-01;6743763
"258";2018-06-01;6786171,2
"259";2018-07-01;6830054,1
"260";2018-08-01;6873255,2
"261";2018-09-01;6905408,5
"262";2018-10-01;6948669,7
"263";2018-11-01;6982079,8
"264";2018-12-01;7004141
"265";2019-01-01;7029690,9
"266";2019-02-01;7065622,7
"267";2019-03-01;7077734,5
"268";2019-04-01;7102939,6
"269";2019-05-01;7155919,3
"270";2019-06-01;7168423,2
"271";2019-07-01;7208018,8
"272";2019-08-01;7238394,1
"273";2019-09-01;7281103,7
"274";2019-10-01;7319464,7
"275";2019-11-01;7351081,3
"276";2019-12-01;7389131
"277";2020-01-01;7426373,3
"278";2020-02-01;7470335,7
"279";2020-03-01;7506475
"280";2020-04-01;7462750,2
"281";2020-05-01;7426887,1
"282";2020-06-01;7438850
"283";2020-07-01;7452094,8
"284";2020-08-01;7460253,5
"285";2020-09-01;7488004,3
"286";2020-10-01;7507821,6
"287";2020-11-01;7544968,1
"288";2020-12-01;7609597
"289";2021-01-01;7671337,2
"290";2021-02-01;7757711,5
"291";2021-03-01;7888820,7
"292";2021-04-01;8053233,8
"293";2021-05-01;8198219,3
"294";2021-06-01;8313352,1
"295";2021-07-01;8422623,8
"296";2021-08-01;8538632,7
"297";2021-09-01;8638141,9
"298";2021-10-01;8723099,3
"299";2021-11-01;8818412,3
"300";2021-12-01;8898727,5
"301";2022-01-01;8944158
"302";2022-02-01;8991887,5
"303";2022-03-01;9061814,3
"304";2022-04-01;9147871,5
"305";2022-05-01;9249469,5
"306";2022-06-01;9351602,7
"307";2022-07-01;9450117,1
"308";2022-08-01;9550207,5
"309";2022-09-01;9640755
"310";2022-10-01;9741791,1
"311";2022-11-01;9829812
"312";2022-12-01;9915316,4
"313";2023-01-01;9998500,3
"314";2023-02-01;10069884,3
"315";2023-03-01;10156139,2
"316";2023-04-01;10213884,2
"317";2023-05-01;10271128
"318";2023-06-01;10318918,8
